692764.3329	7747230.023
633331.3273	7764801.742
540922.9935	7569880.242
536932.4628	7548150.279
626758.9986	7660730.563
619132.7191	7725772.82
663321.5993	7674600.302
703147.7604	7775540.328
671749.301	7928111.206
634111.3441	7753442.012
569628.5538	7595781.245
629469.4809	7642220.465
658630.6398	7753564.042
474228.587	7473573.641
556793.1894	7492709.613
695697.5072	7540359.138
513431.5096	7492185.662
510483.2402	7570940.189
568760.289	7491583.164
624111.5495	7653068.502
704580.1886	7756086.139
604784.4717	7657066.998
658939.1548	7794333.062
698408.9816	7806575.108
663633.4114	7571955.162
601143.9757	7742614.53
664905.4224	7761530.742
628509.378	7610318.252
591621.7625	7666434.355
657993.3679	7819688.302
583819.2309	7772267.826
661549.3571	7788926.591
499524.8405	7494233.778
640933.762	7747884.015
638051.8494	7800225.689
665972.0435	7757702.07
469305.0984	7583842.47
457631.0076	7585271.08
494597.4124	7489439.28
642765.351	7685697.249
546524.9022	7640004.176
547414.8093	7641041.793
630910.2056	7699476.305
624472.4711	7682822.329
486345.3056	7553742.896
695586.8951	7888576.72
536920.0389	7623763.587
602528.7865	7695298.159
662931.3076	7779541.367
655408.484	7711422.726
513499.0986	7570287.036
650271.5329	7735073.676
700084.0787	7565480.827
684013.7002	7602432.844
669096.3442	7687527.142
661579.2597	7802725.671
683841.2803	7562349.453
554683.7495	7663632.859
611158.8894	7597902.5
666014.96	7894566.75
490895.5314	7580416.903
617641.9425	7732319.679
638825.7413	7919311.524
623927.8162	7716132.279
676253.5676	7611652.642
580555.3209	7675113.04
661747.8581	8001109.449
620401.2645	7696322.056
471646.746	7543474.367
502005.1419	7503806.172
519641.8137	7584827.229
503462.5176	7448378.13
657347.7917	7911425.203
640606.8591	7959468.853
471174.1748	7510860.476
560970.0828	7718071.13
653533.5966	7660804.074
645918.6286	7982563.006
687863.1168	7733717.757
683749.1421	7901900.39
482733.5224	7539507.503
597605.0305	7665418.736
717804.4718	7891558.475
628177.7056	7749426.968
596347.6103	7714512.185
653474.7656	7616186.04
685547.4839	8000466.599
707002.9913	7872276.059
640511.3175	7756089.626
630997.8854	7957078.091
716425.2249	7922596.443
471908.7727	7479472.067
621791.6028	7785728.925
607278.7455	7629709.176
525415.7851	7661015.786
686170.9372	7538041.109
506919.422	7633323.202
664146.9943	7829693.793
682113.6861	7826630.454
623799.3248	7759822.065
691401.1966	7523613.412
676158.2104	7852334.078
513352.144	7535935.842
505583.7455	7533933.537
664293.9363	7923015.31
648943.6043	7733597.602
643873.1645	7713038.676
534284.5004	7644916.402
631669.0816	7840940.048
606052.1065	7728922.2
468798.7352	7567130.035
689333.2334	7806122.469
660044.0048	7596380.925
595348.5656	7686707.539
607329.9711	7833370.291
478498.9733	7446504.967
464052.0245	7570271.666
658008.117	7700297.868
638562.5006	7885333.165
492904.3393	7649883.298
654229.5996	7735481.976
509655.001	7504278.364
624768.6711	7584483.433
624601.3741	7730673.539
484963.9354	7486259.94
509952.352	7621473.346
568285.0349	7624174.233
701511.6425	7493164.887
460805.3463	7532568.905
663189.7386	7746012.629
482969.1118	7517427.526
672136.7119	7584138.665
669964.0795	7655643.296
628081.7879	7739909.852
658519.0809	7956879.904
540445.9975	7602465.292
598934.5139	7751354.871
592246.7422	7973736.296
674478.6751	7564190.564
666475.8051	7775188.569
635637.5054	7792778.228
669823.4561	7874137.979
538875.8982	7653609.561
607007.4236	7784332.512
645411.7407	7820442.735
608923.4612	7582293.72
660704.2141	7639371.646
471974.9438	7559490.461
635553.3044	7730919.146
656161.045	7745170.457
664346.2114	7645142.062
529104.8414	7432157.145
672468.2732	7548461.684
503457.1918	7524816.678
539719.6166	7716588.008
694597.1194	7859139.731
452041.4085	7539954.264
630050.6836	7599372.234
688216.5742	7530555.663
692914.8926	7597058.153
679728.9869	7512580.141
667777.4948	7620576.598
583246.358	7625923.252
455982.8195	7465516.161
481772.0922	7499266.96
676461.331	7711899.629
716487.5217	7741083.447
683065.6311	7490570.627
472909.8805	7474492.795
502803.2955	7545339.829
615044.1023	7723386.213
595731.1863	7671200.873
688498.1698	7702649.411
642164.0218	7940081.688
679965.2047	7545165.19
519773.7701	7507859.801
615368.1574	7706189.89
621953.6263	7792524.392
577682.3625	7686842.518
627650.2344	7670412.79
624182.3672	7778332.894
657906.2602	7692954.912
691156.0953	7795299.837
688926.2915	7646485.063
687394.8364	7465628.919
570733.5509	7674876.237
468314.8126	7467435.421
624436.3106	7800128.497
702326.7564	7935025.255
664851.813	7791719.85
648602.6459	7649923.835
580579.3354	7664443.442
612614.4675	7810802.499
697979.4986	7848396.341
665126.1822	7767536.485
611717.4108	7615049.286
601069.0616	7898268.782
505894.5487	7539770.092
687628.7846	7571403.25
591435.7807	7610971.466
635962.9557	7701029.105
678000.6015	7957519.645
632212.3337	7748567.561
656565.0386	7919770.347
683591.7584	7873002.563
581442.2134	7976868.611
646972.5677	7626409.582
689687.6268	7529960.551
664426.3507	7698210.559
670862.3534	7841672.924
611616.7156	7910726.545
646818.6846	7674112.305
549199.7314	7577202.969
693284.5848	7969005.492
643623.9722	7861381.679
549271.5724	7579382.755
668819.3496	7942494.097
515142.7504	7493497.795
673788.42	7570167.074
494648.345	7560983.769
647845.0304	7753403.138
608774.2742	7719033.072
671663.8921	7806877.393
671318.0243	8008653.364
657378.4935	7962748.35
542677.1394	7495628.864
575227.5622	7664847.117
492382.5163	7553932.722
460382.3635	7429790.544
561270.3217	7650747.145
690835.6998	7865773.513
501416.6949	7543043.445
501457.3973	7597846.312
550000.3584	7687637.928
556428.1672	7600019.232
637428.1655	7824759.449
441998.2566	7453482.324
585763.2885	7665577.651
527807.3074	7607627.406
443180.2284	7458952.348
662704.0595	7951732.729
469600.9916	7600812.504
680816.1489	7552886.145
655873.7791	7963201.046
495025.3111	7499763.06
490038.2752	7530356.933
462345.6288	7507789.906
