Nome,URL,Caminho
Itapanhoacanga,"https://www.google.com/maps/@-18.778011,-43.44122,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Jaboticatubas,"https://www.google.com/maps/@-19.521917,-43.7451,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
João Monlevade,"https://www.google.com/maps/@-19.831759,-43.192167,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Lagoa Santa,"https://www.google.com/maps/@-19.591776,-43.976607,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Lapinha da Serra,"https://www.google.com/maps/@-19.120359,-43.682632,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Mariana,"https://www.google.com/maps/@-20.377098,-43.436337,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Milho Verde,"https://www.google.com/maps/@-18.472496,-43.498685,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Monjolos,"https://www.google.com/maps/@-18.324095,-44.127037,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Morro D´Agua Quente,"https://www.google.com/maps/@-20.113269,-43.407548,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Morro do Pilar,"https://www.google.com/maps/@-19.219128,-43.384516,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Nova União,"https://www.google.com/maps/@-19.706142,-43.612562,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Ouro Preto,"https://www.google.com/maps/@-20.385296,-43.503594,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Passabém,"https://www.google.com/maps/@-19.352373,-43.147413,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Ponte Nova,"https://www.google.com/maps/@-20.416288,-42.925269,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Presidente Kubitschek,"https://www.google.com/maps/@-18.625442,-43.652358,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Rio Piracicaba,"https://www.google.com/maps/@-19.929334,-43.173648,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Sabinópolis,"https://www.google.com/maps/@-18.666169,-43.081734,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Santa Bárbara,"https://www.google.com/maps/@-19.964078,-43.424568,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Santa Luzia,"https://www.google.com/maps/@-19.795392,-43.924865,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Santa Maria de Itabira,"https://www.google.com/maps/@-19.449081,-43.114107,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Santana de Pirapama,"https://www.google.com/maps/@-19.005675,-44.039726,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Santa Rita Durão,"https://www.google.com/maps/@-20.182507,-43.419759,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Santo Antônio do Itambé,"https://www.google.com/maps/@-18.465165,-43.31429,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Santo Antônio do Norte (Tapera),"https://www.google.com/maps/@-18.807926,-43.514274,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
